person,gloss,tense,tense_translation,tense_base,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,object,object_translation,object_base,subject,subject_translation,subject_base,mode,mode_translation,mode_base,conjugation
,nitawi-tapasiVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawitapasi
,nitawi-pimipahtaVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawipimipahtak
,nitawi-pimipahtaVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawipimipahtatân
,nitawi-pimipahtaVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawipimipahta
,nitawi-nipawiVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawinipawik
,nitawi-nipawiVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawinipawitân
,nitawi-nipawiVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawinipawi
,nitawi-nanâskomoVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawinanâskomok
,nitawi-nanâskomoVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawinanâskomotân
,nitawi-nanâskomoVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawinanâskomo
,nitawi-apiVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,apiVAI,api,VAI,sit,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawihapik
,nitawi-apiVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,apiVAI,api,VAI,sit,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawihapitân
,nitawi-apiVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,apiVAI,api,VAI,sit,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawihapi
,nitawi-mîcisoVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawimîcisok
,nitawi-mîcisoVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawimîcisotân
,nitawi-mîcisoVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawimîciso
,pe-mîciVTI-NI3sg-2PL-prs-imp-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2PL,you all,kiyanâwâw,imp,Imperative,-,pemîcik
,pe-mîciVTI-NI3sg-2I-prs-imp-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2I,we (and you),kiyanaw,imp,Imperative,-,pemîcitân
,pe-mîciVTI-NI3sg-2SG-prs-imp-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2SG,you,kiya,imp,Imperative,-,pemîci
,pe-atawêVAIT-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,peatawêk
,pe-atawêVAIT-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,peatawêtân
,pe-atawêVAIT-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,peatawê
,pe-mêtawêVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,pemêtawêk
,pe-mêtawêVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,pemêtawêtân
,pe-mêtawêVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,pemêtawê
,pe-wâpiVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,pewâpik
,pe-wâpiVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,pewâpitân
,pe-wâpiVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,pewâpi
,pe-waniskaVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,pewaniskak
,pe-waniskaVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,pewaniskatân
,pe-waniskaVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,pewaniska
,pe-nipaVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,penipak
,pe-nipaVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,penipatân
,pe-nipaVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,penipa
,pe-tapasiVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,petapasik
,pe-tapasiVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,petapasitân
,pe-tapasiVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,petapasi
,pe-pimipahtaVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,pepimipahtak
,pe-pimipahtaVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,pepimipahtatân
,pe-pimipahtaVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,pepimipahta
,pe-nipawiVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,penipawik
,pe-nipawiVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,penipawitân
,pe-nipawiVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,penipawi
,pe-nanâskomoVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,penanâskomok
,pe-nanâskomoVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,penanâskomotân
,pe-nanâskomoVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,penanâskomo
,pe-apiVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,peapik
,pe-apiVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,peapitân
,pe-apiVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,peapi
,pe-mîcisoVAI-NONE-2PL-prs-imp-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,pemîcisok
,pe-mîcisoVAI-NONE-2I-prs-imp-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,pemîcisotân
,pe-mîcisoVAI-NONE-2SG-prs-imp-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,pemîciso
,NONE-mîciVTI-NI3sg-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2PL,you all,kiyanâwâw,imp,Imperative,-,mîcik
,NONE-mîciVTI-NI3sg-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2I,we (and you),kiyanaw,imp,Imperative,-,mîcitân
,NONE-mîciVTI-NI3sg-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2SG,you,kiya,imp,Imperative,-,mîci
,NONE-atawêVAIT-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atawêk
,NONE-atawêVAIT-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atawêtân
,NONE-atawêVAIT-NONE-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atawê
,NONE-mêtawêVAI-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,mêtawêk
,NONE-mêtawêVAI-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,mêtawêtân
,NONE-mêtawêVAI-NONE-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,mêtawê
,NONE-wâpiVAI-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,wâpik
,NONE-wâpiVAI-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,wâpitân
,NONE-wâpiVAI-NONE-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,wâpi
,NONE-waniskaVAI-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,waniskak
,NONE-waniskaVAI-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,waniskatân
,NONE-waniskaVAI-NONE-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,waniska
,NONE-nipaVAI-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nipak
,NONE-nipaVAI-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nipatân
,NONE-nipaVAI-NONE-2SG-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nipa
,NONE-tapasiVAI-NONE-2PL-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,tapasik
,NONE-tapasiVAI-NONE-2I-prs-imp-,prs,present,-,NONE,no preverb,mahkikway preverb,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,tapasitân
